Name,ALogp2,AMR,apol,naAromAtom,nAromBond,nAtom,nHeavyAtom,nB,nN,nO,ATS1m,ATS2m,ATS3m,ATS4m,ATS5m,ATS1v,ATS2v,ATS3v,ATS4v,ATS5v,ATS1e,ATS2e,ATS3e,ATS4e,ATS5e,ATS1p,ATS2p,ATS3p,ATS4p,ATS5p,ATS1i,ATS2i,ATS3i,ATS4i,ATS5i,ATS5s,AATS1m,AATS2m,AATS3m,AATS4m,AATS1v,AATS2v,AATS3v,AATS4v,AATS1e,AATS2e,AATS3e,AATS4e,AATS1p,AATS2p,AATS3p,AATS4p,AATS1i,AATS2i,AATS3i,AATS4i,ATSC1c,ATSC2c,ATSC3c,ATSC4c,ATSC5c,ATSC1m,ATSC2m,ATSC3m,ATSC4m,ATSC5m,ATSC1v,ATSC2v,ATSC3v,ATSC4v,ATSC5v,ATSC1e,ATSC2e,ATSC3e,ATSC4e,ATSC5e,ATSC1p,ATSC2p,ATSC3p,ATSC4p,ATSC5p,ATSC1i,ATSC2i,ATSC3i,ATSC4i,ATSC5i,AATSC1c,AATSC2c,AATSC3c,AATSC4c,AATSC5c,AATSC1m,AATSC2m,AATSC3m,AATSC4m,AATSC5m,AATSC1v,AATSC2v,AATSC3v,AATSC4v,AATSC5v,AATSC1e,AATSC2e,AATSC3e,AATSC4e,AATSC5e,AATSC1p,AATSC2p,AATSC3p,AATSC4p,AATSC5p,AATSC1i,AATSC2i,AATSC3i,AATSC4i,AATSC5i,MATS2c,MATS3c,MATS4c,MATS5c,MATS2m,MATS3m,MATS4m,MATS5m,MATS2v,MATS3v,MATS4v,MATS5v,MATS2e,MATS3e,MATS4e,MATS5e,MATS2p,MATS3p,MATS4p,MATS5p,MATS2i,MATS3i,MATS4i,MATS5i,GATS2c,GATS3c,GATS4c,GATS5c,GATS2m,GATS3m,GATS4m,GATS2v,GATS3v,GATS4v,GATS2e,GATS3e,GATS4e,GATS2p,GATS3p,GATS4p,GATS2i,GATS3i,GATS4i,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,nBonds,nBondsS,nBondsS2,nBondsS3,nBondsD,bpol,SpMax1_Bhm,Sse,Spe,Sare,Sp,Si,Mv,Mse,Mpe,Mare,Mp,Mi,CrippenLogP,CrippenMR,SpMax_Dt
[O-]C:S,-0.2831,0.08014561,8.6916,6.795586,2.0,1.0,5.0,2.0,1.0,0.0,1430.10785,621.660217,573.4785,17.143056,0.0,1298.85240434,1056.40251529,692.305386988,113.097375056,0.0,43.073009,32.935982,35.058222,16.189632,0.0,12.7313298097,9.22958401,5.907811996,0.979380890849,0.0,789.410753141,564.002702195,620.269964054,370.10192872,0.0,0.0,286.02157,155.41505425,143.369625,8.571528,259.770480868,264.100628822,173.076346747,56.5486875282,8.6146018,8.2339955,8.7645555,8.094816,2.54626596194,2.3073960025,1.476952999,0.489690445424,157.882150628,141.000675549,155.067491013,185.05096436,0.192754125119,-0.0958608487552,0.0227346049402,-0.0232508187445,0.0,659.1735708,-228.90804924,-189.98310824,89.30437208,0.0,294.359812542,-74.1327128475,-142.37096932,69.323775897,0.0,0.7848728,-0.09302704,-0.16356984,-0.13583952,0.0,3.73835308902,-0.937582662136,-1.74984678368,0.818252901302,0.0,9.77876452499,-2.5054903239,-4.87607539419,2.49218345559,0.0,0.0385508250238,-0.0239652121888,0.00568365123505,-0.0116254093722,0.0,131.83471416,-57.22701231,-47.49577706,44.65218604,0.0,58.8719625083,-18.5331782119,-35.5927423301,34.6618879485,0.0,0.15697456,-0.02325676,-0.04089246,-0.06791976,0.0,0.747670617804,-0.234395665534,-0.437461695919,0.409126450651,0.0,1.955752905,-0.626372580976,-1.21901884855,1.2460917278,0.0,-0.621652381603,0.147432674438,-0.30156058567,0.0,-0.434081513922,-0.360267607531,0.338698242906,0.0,-0.314804831065,-0.604578831987,0.588767326104,0.0,-0.148156236272,-0.260503740224,-0.432680047009,0.0,-0.313501239653,-0.585099488333,0.547201455974,0.0,-0.320271839748,-0.623299009518,0.63714169853,0.0,1.33484773387,0.704681695513,0.920941141225,0.0,1.14018471355,1.18935177657,0.340927019764,1.06987840595,1.28837795822,0.283487271662,0.653561952969,1.12794964993,1.4369767942,1.10475944795,1.3927955004,0.00489010331921,1.14144624679,1.35853409662,3.93131921745e-05,11.9987180461,31.9733527713,-0.315063809853,0.299181932287,3.61824892855,5.57305671664,4.0,4.0,3.0,1.0,1.0,5.424414,3.4436816609,5.29533867444,5.0862745098,5.136,4.01532095808,37.3863748503,0.68873633218,1.05906773489,1.01725490196,1.0272,0.803064191617,7.47727497006,-0.60421,13.286
[NH]:C[O-],-1.544,2.383936,4.2221,5.662379,2.0,1.0,6.0,3.0,1.0,1.0,599.476363,400.747266,279.574281,34.286112,0.0,976.473085228,912.40884938,658.99471564,226.194750113,0.0,51.24926,42.479936,50.37462,32.379264,0.0,5.97594271455,5.75682891,4.82214181085,1.9587617817,0.0,1078.23866078,865.40646317,1071.91425506,740.203857441,0.0,0.0,99.9127271667,80.1494532,46.5957135,8.571528,162.745514205,182.481769876,109.832452607,56.5486875282,8.54154333333,8.4959872,8.39577,8.094816,0.995990452425,1.151365782,0.803690301808,0.489690445424,179.706443463,173.081292634,178.652375843,185.05096436,0.281235819631,-0.19405999887,0.103951302569,-0.0505092135153,0.0,261.361082833,-46.2308600278,-58.5409991667,-25.9086822222,0.0,214.528132646,-29.9645247394,-102.950236942,25.6506953587,0.0,0.96311,-0.293689,0.08847,-0.276336,0.0,0.800708094607,-0.25087346999,-0.353092809091,0.203612231778,0.0,6.02402542311,-2.93315426739,-0.300380294641,0.221521850478,0.0,0.0468726366052,-0.038811999774,0.0173252170949,-0.0126273033788,0.0,43.5601804722,-9.24617200556,-9.75683319444,-6.47717055556,0.0,35.7546887743,-5.99290494788,-17.1583728237,6.41267383967,0.0,0.160518333333,-0.0587378,0.014745,-0.069084,0.0,0.133451349101,-0.050174693998,-0.0588488015152,0.0509030579444,0.0,1.00400423718,-0.586630853478,-0.0500633824402,0.0553804626194,0.0,-0.828031077083,0.369623267426,-0.269396054785,0.0,-0.212262022455,-0.223985141675,-0.148694759419,0.0,-0.1676117218,-0.479891544631,0.179351969196,0.0,-0.365925802868,0.091858666196,-0.430380745709,0.0,-0.375977420505,-0.440975695724,0.381435319218,0.0,-0.584291212877,-0.0498637162933,0.0551595905359,0.0,1.70717217099,0.525313943812,0.828063870542,0.0,0.91616962596,1.01998761806,1.07480654046,1.1311279561,1.23324295386,0.486225624089,0.920814860193,0.756784444837,1.4638047575,1.53619334631,1.20081307977,0.0285386974544,1.95007246684,0.874886430244,7.97710878521e-05,11.9969729711,15.9979417066,-0.329827987863,0.270958997049,2.64719219429,3.60481497746,5.0,5.0,4.0,1.0,1.0,3.577621,3.28550437614,6.32556445739,6.12941176471,6.268,3.33675389222,48.0286101796,0.547584062691,1.0542607429,1.02156862745,1.04466666667,0.556125648703,8.00476836327,-1.57531,8.4874
[NH]:CS,-0.2389,0.05707321,12.9137,8.427172,2.0,1.0,7.0,4.0,1.0,1.0,1372.368026,625.972417,532.837284,81.800208,2.032128,1387.94328946,1248.61574414,979.515312802,452.614699735,62.1674888619,53.359857,48.230518,53.45941,43.763328,13.436928,14.1873516194,11.19418861,9.64241783485,5.93471041455,0.889225809698,1185.0348342,969.599960823,1133.37985237,1034.15409741,369.835304048,2.0,196.052575143,104.328736167,76.119612,13.633368,198.27761278,208.102624024,139.930758972,75.4357832892,7.62283671429,8.03841966667,7.63705857143,7.293888,2.02676451706,1.86569810167,1.37748826212,0.989118402424,169.2906906,161.59999347,161.911407482,172.359016235,0.17381014028,-0.122399996934,0.060790644572,-0.0500415815284,0.024745863751,821.274868857,-198.926971163,-115.883920286,-219.538498735,123.711955755,405.976177955,-37.9912394229,-180.162525086,-63.4287510376,78.594426569,0.339824857143,-0.177315877551,0.0155478571429,-0.059435877551,0.0512914693878,4.25757491117,-0.276598302604,-1.48220306061,-0.91962357334,0.549637480965,13.7529394106,0.937958344378,-7.65709985376,-1.03643550878,0.879107312839,0.02483002004,-0.0203999994891,0.008684377796,-0.00834026358807,0.0123729318755,117.324981265,-33.1544951939,-16.5548457551,-36.5897497891,61.8559778776,57.9965968507,-6.33187323716,-25.7375035837,-10.5714585063,39.2972132845,0.0485464081633,-0.0295526462585,0.00222112244898,-0.00990597959184,0.0256457346939,0.60822498731,-0.0460997171006,-0.211743294372,-0.153270595557,0.274818740482,1.96470563009,0.15632639073,-1.09387140768,-0.172739251463,0.43955365642,-0.821586106505,0.349753152918,-0.335894355891,0.498305351972,-0.282586835611,-0.141102479426,-0.311866657847,0.527219158362,-0.109176634165,-0.443776100345,-0.182277221084,0.677577916954,-0.608750417932,0.0457525599321,-0.204051751028,0.528272547119,-0.0757938559948,-0.348133172412,-0.251996545282,0.451837307273,0.079567334839,-0.556760967611,-0.0879211871831,0.223724943669,1.88611016078,0.543957580597,0.977836439569,0.00430866686952,1.11362663182,0.950948133081,1.27693387959,1.01132927555,1.27659402163,0.999311032547,1.65816887186,0.785630749285,0.925261920636,0.96378508548,1.15097258444,1.19341356601,1.0628112536,1.4081145968,0.794388383465,11.9993936788,31.9726768839,-0.317457315895,0.116882956525,4.81824819958,6.33753718445,6.0,6.0,5.0,1.0,1.0,5.992828,4.02867392632,7.01565914057,6.65490196078,6.724,4.99231856287,54.2204682635,0.575524846617,1.00223702008,0.950700280112,0.960571428571,0.713188366125,7.7457811805,-0.00581,17.4734
[NH]:CO,-1.2102,1.46458404,6.7867,6.329172,2.0,1.0,7.0,4.0,1.0,1.0,600.492427,416.874258,291.681369,49.421232,2.032128,1007.55682966,994.422480005,773.73133201,344.244669444,62.1674888619,57.967724,51.951104,57.492252,47.376576,13.436928,6.4205556194,6.291596896,5.93568612085,3.13684698655,0.889225809698,1263.1563128,1050.59073987,1225.03680277,1122.76263987,369.835304048,2.0,85.7846324286,69.479043,41.668767,8.236872,143.936689951,165.737080001,110.53304743,57.3741115741,8.28110342857,8.65851733333,8.21317885714,7.896096,0.917222231342,1.04859948267,0.847955160121,0.522807831091,180.450901828,175.098456644,175.005257539,187.127106645,0.332694621298,-0.237381025003,0.137714493688,-0.117934991422,0.0512542120874,297.562369714,-73.9648523265,-83.6311378571,-53.2445436122,62.0593489388,242.315576759,-25.2310717175,-148.388756721,4.82642158057,47.6356184789,1.04180342857,-0.479700081633,0.127167428571,-0.303272081633,0.134903020408,0.859517441455,-0.15552696142,-0.519520774892,0.144472992415,0.100816023169,6.06955766903,-2.82283186923,-0.716757884964,0.426755640961,0.07805527872,0.0475278030425,-0.0395635041671,0.0196734990983,-0.0196558319036,0.0256271060437,42.5089099592,-12.3274753878,-11.9473054082,-8.87409060204,31.0296744694,34.6165109655,-4.20517861959,-21.1983938173,0.804403596762,23.8178092395,0.148829061224,-0.0799500136054,0.0181667755102,-0.0505453469388,0.0674515102041,0.122788205922,-0.0259211602367,-0.074217253556,0.0240788320692,0.0504080115845,0.867079667004,-0.470471978205,-0.102393983566,0.0711259401602,0.03902763936,-0.832428634072,0.413936640006,-0.413564916645,0.539202412129,-0.289997447584,-0.281054146522,-0.208758366436,0.729956954887,-0.121478985094,-0.612378117438,0.0232375700013,0.68804765631,-0.537193562518,0.122064705379,-0.339620142215,0.453214645373,-0.211104641867,-0.604433080511,0.196100528454,0.410528122029,-0.542593715559,-0.118090629342,0.0820293023431,0.0450104423448,1.76052064812,0.470523817401,1.16555943961,0.0749263759254,1.18232734313,1.09586174258,1.03916729053,1.1736034558,1.5211877788,0.551677468936,1.39255444954,0.729365451996,1.2565191898,1.44171933451,1.6524352249,0.13043956977,1.93547519851,1.27915116566,0.0721817748778,11.9969729711,15.9979417066,-0.396581578345,0.164778328926,3.03096228575,3.80154145393,6.0,6.0,5.0,1.0,1.0,3.712828,3.55641827804,7.2694828842,6.99215686275,7.148,3.73603113772,56.1713904192,0.508059754005,1.03849755489,0.998879551821,1.02114285714,0.533718733961,8.02448434559,-0.56311,10.4232
[NH]:CN,-1.4998,2.24940004,8.4442,7.293965,2.0,1.0,8.0,5.0,1.0,2.0,541.736539,405.059466,274.894641,60.54048,4.064256,1065.56397035,1104.62207824,938.360477367,472.199677326,124.334977724,61.536108,57.774472,68.666788,59.989248,26.873856,7.43196452425,7.72143351,8.0203476497,4.7123408194,1.7784516194,1473.86274183,1271.0037218,1588.84781852,1530.23512972,739.670608097,4.0,67.717067375,57.865638,30.543849,7.56756,133.195496293,157.803154034,104.262275263,59.0249596658,7.6920135,8.253496,7.62964311111,7.498656,0.928995565531,1.10306193,0.891149738855,0.589042602425,184.232842729,181.571960257,176.538646503,191.279391215,0.265103307143,-0.196265338813,0.125042451338,-0.118804734975,0.0574759688784,287.879760875,-77.6042875156,-82.5489686094,-69.353749375,85.5671250625,272.48917139,-25.5522591383,-165.385158187,-22.0918572458,76.7846888758,0.5180035,-0.3044400625,0.1084155625,-0.1782375,0.11526025,0.944825559092,-0.0592949981441,-0.663554332311,0.0319688831816,0.218467667728,7.19057956734,-4.43328720426,0.578739763158,0.245637075232,0.0136205822026,0.0331379133929,-0.0280379055447,0.0138936057042,-0.0148505918719,0.0143689922196,35.9849701094,-11.0863267879,-9.17210762326,-8.66921867187,21.3917812656,34.0611464238,-3.65032273404,-18.3761286874,-2.76148215572,19.1961722189,0.0647504375,-0.0434914375,0.0120461736111,-0.0222796875,0.0288150625,0.118103194886,-0.00847071402059,-0.0737282591457,0.0039961103977,0.0546169169319,0.898822445918,-0.633326743466,0.0643044181286,0.030704634404,0.00340514555064,-0.846097496008,0.419266160168,-0.44814505053,0.433611858696,-0.308082145247,-0.254887181937,-0.24091220989,0.59446433332,-0.107169696775,-0.539504115886,-0.0810742574945,0.563579745088,-0.671677894068,0.186040034264,-0.344085512936,0.445017263397,-0.0717229879237,-0.624269810961,0.033835751874,0.462450799781,-0.704618299579,0.0715429598145,0.0341609564196,0.00378845184175,2.00721858661,0.430564586866,1.25929857649,0.0,1.39803166877,1.11070373588,1.02718058696,1.241536144,1.57194534595,0.645217359805,1.80958236769,0.615365211496,1.22432956534,1.27372586457,1.81145938335,0.34759806223,2.11417322973,1.27736505823,0.213062733475,11.9939769493,14.0092754766,-0.342096278774,0.110375649519,3.83860641132,4.42636676601,7.0,7.0,6.0,1.0,1.0,4.146035,3.87049664156,8.04588492353,7.69803921569,7.856,4.31375149701,64.8627035928,0.483812080195,1.00573561544,0.962254901961,0.982,0.539218937126,8.1078379491,-0.97691,12.6748
[NH]:C=O,-0.7037,0.49519369,8.7939,5.662379,2.0,1.0,6.0,3.0,1.0,1.0,599.476363,400.747266,279.574281,34.286112,0.0,976.473085228,912.40884938,658.99471564,226.194750113,0.0,51.24926,42.479936,50.37462,32.379264,0.0,5.97594271455,5.75682891,4.82214181085,1.9587617817,0.0,1078.23866078,865.40646317,1071.91425506,740.203857441,0.0,0.0,99.9127271667,80.1494532,46.5957135,8.571528,162.745514205,182.481769876,109.832452607,56.5486875282,8.54154333333,8.4959872,8.39577,8.094816,0.995990452425,1.151365782,0.803690301808,0.489690445424,179.706443463,173.081292634,178.652375843,185.05096436,0.237857062816,-0.150197353904,0.0724589196861,-0.0411900971898,0.0,261.361082833,-46.2308600278,-58.5409991667,-25.9086822222,0.0,214.528132646,-29.9645247394,-102.950236942,25.6506953587,0.0,0.96311,-0.293689,0.08847,-0.276336,0.0,0.800708094607,-0.25087346999,-0.353092809091,0.203612231778,0.0,6.02402542311,-2.93315426739,-0.300380294641,0.221521850478,0.0,0.0396428438027,-0.0300394707809,0.0120764866144,-0.0102975242974,0.0,43.5601804722,-9.24617200556,-9.75683319444,-6.47717055556,0.0,35.7546887743,-5.99290494788,-17.1583728237,6.41267383967,0.0,0.160518333333,-0.0587378,0.014745,-0.069084,0.0,0.133451349101,-0.050174693998,-0.0588488015152,0.0509030579444,0.0,1.00400423718,-0.586630853478,-0.0500633824402,0.0553804626194,0.0,-0.757752671085,0.304632197288,-0.259757457076,0.0,-0.212262022455,-0.223985141675,-0.148694759419,0.0,-0.1676117218,-0.479891544631,0.179351969196,0.0,-0.365925802868,0.091858666196,-0.430380745709,0.0,-0.375977420505,-0.440975695724,0.381435319218,0.0,-0.584291212877,-0.0498637162933,0.0551595905359,0.0,1.59169382088,0.579473168927,0.891172970505,0.0,0.91616962596,1.01998761806,1.07480654046,1.1311279561,1.23324295386,0.486225624089,0.920814860193,0.756784444837,1.4638047575,1.53619334631,1.20081307977,0.0285386974544,1.95007246684,0.874886430244,7.97710878521e-05,11.9889908574,16.0059238695,-0.365326095779,0.264294751695,2.7168672968,3.7391493564,5.0,4.0,3.0,0.0,2.0,3.577621,3.28550437614,6.32556445739,6.12941176471,6.268,3.33675389222,48.0286101796,0.547584062691,1.0542607429,1.02156862745,1.04466666667,0.556125648703,8.00476836327,-0.8985,10.2514
[NH]:C=O,-0.7037,0.49519369,8.7939,5.662379,2.0,1.0,6.0,3.0,1.0,1.0,599.476363,400.747266,279.574281,34.286112,0.0,976.473085228,912.40884938,658.99471564,226.194750113,0.0,51.24926,42.479936,50.37462,32.379264,0.0,5.97594271455,5.75682891,4.82214181085,1.9587617817,0.0,1078.23866078,865.40646317,1071.91425506,740.203857441,0.0,0.0,99.9127271667,80.1494532,46.5957135,8.571528,162.745514205,182.481769876,109.832452607,56.5486875282,8.54154333333,8.4959872,8.39577,8.094816,0.995990452425,1.151365782,0.803690301808,0.489690445424,179.706443463,173.081292634,178.652375843,185.05096436,0.237857062816,-0.150197353904,0.0724589196861,-0.0411900971898,0.0,261.361082833,-46.2308600278,-58.5409991667,-25.9086822222,0.0,214.528132646,-29.9645247394,-102.950236942,25.6506953587,0.0,0.96311,-0.293689,0.08847,-0.276336,0.0,0.800708094607,-0.25087346999,-0.353092809091,0.203612231778,0.0,6.02402542311,-2.93315426739,-0.300380294641,0.221521850478,0.0,0.0396428438027,-0.0300394707809,0.0120764866144,-0.0102975242974,0.0,43.5601804722,-9.24617200556,-9.75683319444,-6.47717055556,0.0,35.7546887743,-5.99290494788,-17.1583728237,6.41267383967,0.0,0.160518333333,-0.0587378,0.014745,-0.069084,0.0,0.133451349101,-0.050174693998,-0.0588488015152,0.0509030579444,0.0,1.00400423718,-0.586630853478,-0.0500633824402,0.0553804626194,0.0,-0.757752671085,0.304632197288,-0.259757457076,0.0,-0.212262022455,-0.223985141675,-0.148694759419,0.0,-0.1676117218,-0.479891544631,0.179351969196,0.0,-0.365925802868,0.091858666196,-0.430380745709,0.0,-0.375977420505,-0.440975695724,0.381435319218,0.0,-0.584291212877,-0.0498637162933,0.0551595905359,0.0,1.59169382088,0.579473168927,0.891172970505,0.0,0.91616962596,1.01998761806,1.07480654046,1.1311279561,1.23324295386,0.486225624089,0.920814860193,0.756784444837,1.4638047575,1.53619334631,1.20081307977,0.0285386974544,1.95007246684,0.874886430244,7.97710878521e-05,11.9889908574,16.0059238695,-0.365326095779,0.264294751695,2.7168672968,3.7391493564,5.0,4.0,3.0,0.0,2.0,3.577621,3.28550437614,6.32556445739,6.12941176471,6.268,3.33675389222,48.0286101796,0.547584062691,1.0542607429,1.02156862745,1.04466666667,0.556125648703,8.00476836327,-0.8985,10.2514
[NH]:C:[NH],-1.4998,2.24940004,8.4442,7.293965,3.0,2.0,8.0,5.0,1.0,2.0,541.736539,405.059466,274.894641,60.54048,4.064256,1065.56397035,1104.62207824,938.360477367,472.199677326,124.334977724,61.536108,57.774472,68.666788,59.989248,26.873856,7.43196452425,7.72143351,8.0203476497,4.7123408194,1.7784516194,1473.86274183,1271.0037218,1588.84781852,1530.23512972,739.670608097,4.0,67.717067375,57.865638,30.543849,7.56756,133.195496293,157.803154034,104.262275263,59.0249596658,7.6920135,8.253496,7.62964311111,7.498656,0.928995565531,1.10306193,0.891149738855,0.589042602425,184.232842729,181.571960257,176.538646503,191.279391215,0.265103307143,-0.196265338813,0.125042451338,-0.118804734975,0.0574759688784,287.879760875,-77.6042875156,-82.5489686094,-69.353749375,85.5671250625,272.48917139,-25.5522591383,-165.385158187,-22.0918572458,76.7846888758,0.5180035,-0.3044400625,0.1084155625,-0.1782375,0.11526025,0.944825559092,-0.0592949981441,-0.663554332311,0.0319688831816,0.218467667728,7.19057956734,-4.43328720426,0.578739763158,0.245637075232,0.0136205822026,0.0331379133929,-0.0280379055447,0.0138936057042,-0.0148505918719,0.0143689922196,35.9849701094,-11.0863267879,-9.17210762326,-8.66921867187,21.3917812656,34.0611464238,-3.65032273404,-18.3761286874,-2.76148215572,19.1961722189,0.0647504375,-0.0434914375,0.0120461736111,-0.0222796875,0.0288150625,0.118103194886,-0.00847071402059,-0.0737282591457,0.0039961103977,0.0546169169319,0.898822445918,-0.633326743466,0.0643044181286,0.030704634404,0.00340514555064,-0.846097496008,0.419266160168,-0.44814505053,0.433611858696,-0.308082145247,-0.254887181937,-0.24091220989,0.59446433332,-0.107169696775,-0.539504115886,-0.0810742574945,0.563579745088,-0.671677894068,0.186040034264,-0.344085512936,0.445017263397,-0.0717229879237,-0.624269810961,0.033835751874,0.462450799781,-0.704618299579,0.0715429598145,0.0341609564196,0.00378845184175,2.00721858661,0.430564586866,1.25929857649,0.0,1.39803166877,1.11070373588,1.02718058696,1.241536144,1.57194534595,0.645217359805,1.80958236769,0.615365211496,1.22432956534,1.27372586457,1.81145938335,0.34759806223,2.11417322973,1.27736505823,0.213062733475,11.9872997448,14.0158643581,-0.37017802048,0.138468931256,3.8164882581,4.44850295517,7.0,7.0,5.0,0.0,2.0,4.146035,3.87049664156,8.04588492353,7.69803921569,7.856,4.31375149701,64.8627035928,0.483812080195,1.00573561544,0.962254901961,0.982,0.539218937126,8.1078379491,-0.97691,12.6748
[NH]:C:[NH+],-2.1938,4.81275844,4.2221,7.960758,3.0,2.0,9.0,6.0,1.0,2.0,542.752603,419.178522,289.033857,75.6756,6.096384,1096.64771478,1191.58825314,1115.2645826,590.249596658,186.502466586,68.254572,66.05332,89.221348,74.98656,40.310784,7.87657742909,8.45490581,10.0231177694,5.89042602425,2.66767742909,1658.78039386,1468.6448522,2111.80567028,1912.79391215,1109.50591215,6.0,60.3058447778,52.39731525,24.08615475,7.56756,121.849746086,148.948531642,92.9387152166,59.0249596658,7.58384133333,8.256665,7.43511233333,7.498656,0.875175269899,1.05686322625,0.835259814116,0.589042602425,184.308932651,183.580606526,175.983805857,191.279391215,0.298935889915,-0.227724651251,0.152940766827,-0.14777882919,0.073094768656,306.894677556,-88.526598716,-68.1462222963,-98.1874067284,101.412888963,289.552435585,-26.4327344803,-165.841868528,-43.5056904893,91.0040757046,0.543616888889,-0.338000790123,0.156088592593,-0.226500987654,0.136604740741,0.993373929698,-0.0407279921551,-0.696461963233,-0.0184216526939,0.258924643233,7.19360636339,-4.37798652737,0.49547345656,0.269566976874,0.0161429122401,0.0332150988794,-0.0284655814063,0.0127450639023,-0.014777882919,0.0121824614427,34.0994086173,-11.0658248395,-5.67885185802,-9.81874067284,16.9021481605,32.1724928428,-3.30409181003,-13.8201557106,-4.35056904893,15.1673459508,0.0604018765432,-0.0422500987654,0.013007382716,-0.0226500987654,0.0227674567901,0.110374881078,-0.00509099901939,-0.0580384969361,-0.00184216526939,0.0431541072054,0.799289595932,-0.547248315921,0.0412894547133,0.0269566976874,0.00269048537335,-0.857007275807,0.383712959837,-0.444914614666,0.366774805847,-0.324516620323,-0.166538133308,-0.287944602883,0.495672765185,-0.102699278734,-0.429564341755,-0.135226358436,0.471438319215,-0.699483214486,0.215347327938,-0.374989984777,0.376932938066,-0.0461246161236,-0.525830663367,-0.0166900770484,0.390977609979,-0.684668383908,0.0516576906837,0.0337258208096,0.00336609582689,2.26798548734,0.375691136673,1.33213373191,0.00441419034879,1.5867072928,1.02454046506,1.10118560769,1.34185691883,1.52714792425,0.693936955829,2.05764762439,0.517146062014,1.33330662607,1.30593612915,1.81450907602,0.377840205462,2.17413311881,1.34774641148,0.243397811174,11.9872997448,14.0158643581,-0.415495550247,0.121066738042,3.95674619094,4.66042455223,8.0,8.0,6.0,0.0,2.0,4.579242,4.14141054346,8.98980335033,8.56078431373,8.736,4.71302874251,73.0054838323,0.460156727051,0.998867038925,0.951198257081,0.970666666667,0.523669860279,8.11172042582,-1.69371,11.3755
[NH]:C:S,-0.2389,0.05707321,12.9137,8.427172,3.0,2.0,7.0,4.0,1.0,1.0,1372.368026,625.972417,532.837284,81.800208,2.032128,1387.94328946,1248.61574414,979.515312802,452.614699735,62.1674888619,53.359857,48.230518,53.45941,43.763328,13.436928,14.1873516194,11.19418861,9.64241783485,5.93471041455,0.889225809698,1185.0348342,969.599960823,1133.37985237,1034.15409741,369.835304048,2.0,196.052575143,104.328736167,76.119612,13.633368,198.27761278,208.102624024,139.930758972,75.4357832892,7.62283671429,8.03841966667,7.63705857143,7.293888,2.02676451706,1.86569810167,1.37748826212,0.989118402424,169.2906906,161.59999347,161.911407482,172.359016235,0.17381014028,-0.122399996934,0.060790644572,-0.0500415815284,0.024745863751,821.274868857,-198.926971163,-115.883920286,-219.538498735,123.711955755,405.976177955,-37.9912394229,-180.162525086,-63.4287510376,78.594426569,0.339824857143,-0.177315877551,0.0155478571429,-0.059435877551,0.0512914693878,4.25757491117,-0.276598302604,-1.48220306061,-0.91962357334,0.549637480965,13.7529394106,0.937958344378,-7.65709985376,-1.03643550878,0.879107312839,0.02483002004,-0.0203999994891,0.008684377796,-0.00834026358807,0.0123729318755,117.324981265,-33.1544951939,-16.5548457551,-36.5897497891,61.8559778776,57.9965968507,-6.33187323716,-25.7375035837,-10.5714585063,39.2972132845,0.0485464081633,-0.0295526462585,0.00222112244898,-0.00990597959184,0.0256457346939,0.60822498731,-0.0460997171006,-0.211743294372,-0.153270595557,0.274818740482,1.96470563009,0.15632639073,-1.09387140768,-0.172739251463,0.43955365642,-0.821586106505,0.349753152918,-0.335894355891,0.498305351972,-0.282586835611,-0.141102479426,-0.311866657847,0.527219158362,-0.109176634165,-0.443776100345,-0.182277221084,0.677577916954,-0.608750417932,0.0457525599321,-0.204051751028,0.528272547119,-0.0757938559948,-0.348133172412,-0.251996545282,0.451837307273,0.079567334839,-0.556760967611,-0.0879211871831,0.223724943669,1.88611016078,0.543957580597,0.977836439569,0.00430866686952,1.11362663182,0.950948133081,1.27693387959,1.01132927555,1.27659402163,0.999311032547,1.65816887186,0.785630749285,0.925261920636,0.96378508548,1.15097258444,1.19341356601,1.0628112536,1.4081145968,0.794388383465,11.9987178014,31.9733527642,-0.317457007912,0.154745713802,4.81824826692,6.35467551438,6.0,6.0,4.0,0.0,2.0,5.992828,4.02867392632,7.01565914057,6.65490196078,6.724,4.99231856287,54.2204682635,0.575524846617,1.00223702008,0.950700280112,0.960571428571,0.713188366125,7.7457811805,-0.00581,17.4734
